Name,Web,sectors,usecases,tech_offers
Bill-Ray Home Mobility,http://billrayhomemobility.com,['Home'],[],[]
Bim Chain,http://bimchain.io,"['Construction', 'Construction']","['Blockchain', 'Blockchain']",[]
bimnesne,http://bimnesne.com,"['Building', 'Build']","['BIM', 'BIM', 'exclusive']","['online', 'data']"
BioMASON,http://biomason.com/,['construction industry'],[],['Biotechnology']
birdzi,http://birdzi.com,[],[],"['AI', 'data', 'AI']"
Realhub,http://bit.ly/2KFA4rM,[],[],[]
Emitwise,http://bit.ly/EmitwiseLinkedin,[],"['carbon', 'low-carbon', 'carbon', 'operations']",['power']
Bitool,http://bitool.cn/,[],"['Blockchain', 'Blockchain']",[]
blackhawk-investments,http://bitool.cn/,[],[],[]
Block114.cn,http://block114.cn/,[],[],[]
Block360.Pro,http://block360.pro/,[],[],[]
blockshares,http://blockshares.com/,"['Development', 'Commercial', 'Commercial']",['locks'],[]
Blocnets,http://blocnets.com/,[],[],[]
Realtorspropertyresource,http://blog.narrpr.com/,[],"['Property', 'work', 'Resource', 'Resource', 'exclusive']","['power', 'AR', 'online', 'data']"
Bloom Diagnostics,http://bloomdiagnostics.com/,[],"['access', 'comfort']","['power', 'diagnostics']"
bluematch,http://bluematch.com,"['Real Estate', 'homeowners']",[],[]
Bluvision Inc,http://bluvision.com,[],['management'],[]
Boatbound,http://boatbound.co/,['renters'],[],[]
Bob,http://bobdepannage.fr/,[],[],[]
Boon Resources,http://boonresources.com,[],"['Resource', 'Resource']",['application']
Bouwaandeel,http://bouwaandeel.nl/,[],['access'],[]
bowery,http://boweryres.com,[],['work'],"['ML', 'Photo', 'data']"
brace.,http://Brace.ai,[],[],[]
Bradford Technologies,http://bradfordsoftware.com/,[],[],[]
Brainsoft,http://brain-soft.ru/,['visitor'],[],"['analysis', 'dashboard', 'online']"
Brainly,http://brainly.com/,[],['access'],"['online learning', 'online']"
BrandBox,http://brandbox.io/,[],[],[]
brands4friends,http://brands4friends.de,[],"['access', 'exclusive']",['online']
Brilliantly,http://brilliantly.co,[],[],[]
BT Group,http://bt.com,[],"['cybersecurity services', 'work']",['networking']
BTP Tech,http://btp-tech.com,[],[],[]
Build Sort,http://buildsort.com,"['Building', 'Build']",[],[]
buildstar,http://buildstar.com,"['Build', 'construction industry']",['management'],['online']
BuildSupply,http://buildsupply.com/,['Build'],[],[]
Buildtools Inc,http://buildtools.com,['Build'],['management'],[]
Bundlefi,http://bundlefi.com/,['Home'],[],[]
Buscadom,http://buscadom.com,[],[],[]
Immodvisor,http://business-immodvisor.com 2. https://www.immodvisor.com,['housing'],['management'],[]
Bux180,http://bux180.com,[],[],['online']
Core,http://bycore.com,"['Office', 'CRE']",[],[]
Byva,http://byva.se,[],[],[]
ByzGen,http://byzgen.com,[],[],[]
CAD.42,http://cad42.com,[],"['operations', 'safety']",['CAD']
Bronco Plumbing Ltd,http://camcoplumbing.com/,['Energy'],['comfort'],"['Heating', 'Cooling']"
Canary,http://canary.com.br/,[],"['access', 'management', 'invoicing']",[]
captaloo,http://captaloo.com/,[],[],['online']
Caption Health,http://captionhealth.com/,['Health'],['access'],"['AI-powered', 'power', 'AI', 'AI']"
cardspring,http://cardspring.com,[],['operations'],['analysis']
Zigbang,http://career.zigbang.com,['living'],"['environment', 'convenience']",[]
CARETAKER,http://caretaker.com/,[],[],['AR']
carrtell.co,http://carrtell.co/,['Delivery'],"['Delivery', 'work', 'operations']",['Solutions']
EShares,http://carta.com/,[],"['access', 'management', 'portfolio']",['insights']
casavi.de,http://casavi.de,[],[],[]
Censuum,http://censuum.dk/,[],[],['online']
Cerescoin,http://cerescoin.io,[],['risk'],[]
Channel Ledger,http://channelledger.io/,[],[],['power']
Choister,http://choister.ru/,[],[],[]
Cielo Wigle,http://cielowigle.com,[],['work'],"['HVAC', 'Air']"
Cimlscom,http://cimls.com,"['Commercial', 'Commercial', 'Real Estate']",[],"['ML', 'MLS']"
Citiviz,http://citiviz.com,[],['urban mobility'],['application']
citydata,http://citydata.ai,[],[],"['AI', 'data', 'AI']"
civilview,http://civilviewinc.com/,[],['mapping'],['application']
ClaimsControl,http://claimscontrol.com,[],[],[]
ClassPass,http://classpass.com/,[],[],[]
ClevAir,http://clevair.io/,[],['management'],['Air']
Clientlinkt,http://clientlinkt.com/,[],[],"['Computer', 'Software']"
clientlook,http://clientlook.com,"['Commercial', 'Commercial', 'commercial real estate', 'commercial real estate']",['management'],['Light']
Cobod,http://cobod.com/,['construction industry'],[],[]
Colindar App,http://colindar.com,"['Own', 'Communities']","['Communities', 'access', 'management']",[]
Coming Soon Homes,http://comingsoonhomes.com,"['Home', 'Homes']",[],[]
True North Apartment REIT,http://commercial.truenorthreit.com,"['Apartment', 'Commercial', 'Commercial', 'Real Estate Investment', 'commercial real estate', 'Real Estate', 'commercial real estate']",[],[]
Commissions Inc Cinc,http://commissionsinc.com,[],[],['power']
Comoli Inc.,http://comoli.com/,[],[],[]
ConnectNow,http://connectnow.org.uk/,[],[],[]
Connexity,http://connexity.com/,[],[],[]
corporate-niche,http://corporateniche.com/Project_Manager_GCT/PJManager.htm,['Project'],[],[]
Cortex,http://cortexintel.com,[],['operations'],['insights']
Covee Network,http://covee.network,[],['work'],"['decentralized', 'Network', 'decentralized', 'data']"
creid,http://CREID.AI,"['Real Estate', 'CRE']",[],"['Database', 'AI', 'AI']"
Crown Bay Group,http://crownbaygroup.com/,['renovation'],['management'],[]
Cubic Vr,http://cubic.cool,[],[],"['Association', 'Air']"
cuebiq,http://cuebiq.com,[],['location intelligence'],"['analysis', 'insights', 'data']"
Cuemath,http://cuemath.com,[],[],"['online learning', 'online']"
CULedger,http://culedger.com/,[],[],[]
Cunio,http://cunio.de/cunio-kontaktieren,['tenant'],"['work', 'management']",['Network']
Curb Call Inc,http://curbcall.com,[],"['work', 'management']",['software solutions']
curbside,http://curbside.com,['fulfillment'],['safety'],"['LED', 'power']"
Cureoscity,http://cureoscity.com,[],[],[]
Curist,http://curistrelief.com,[],['access'],[]
Cycle up,http://cycle-up.fr,[],[],[]
Dailymotion,http://dailymotion.com,[],[],[]
Damae Medical,http://damaemedical.fr/,['Medical'],[],[]
Danish Wood Technology,http://danishwoodtech.com/,[],"['fire', 'safety']",['Wood']
Dapix,http://dapix.io/,[],[],['power']
datappraise,http://datappraise.com,"['Office', 'Commercial', 'Commercial', 'commercial real estate', 'Real Estate', 'CRE', 'commercial real estate']","['Cloud', 'Cloud', 'operations']","['Database', 'data']"
Datex Property Solutions,http://datexpropertysolutions.com/,[],['Property'],['Solutions']
DCByte,http://dcbyte.com,[],[],['data']
Distributed Energy,http://de.energy/,['Energy'],[],['renewable']
DEIP,http://deip.world/,[],[],[]
Dekrypt Capital,http://dekrypt.capital,[],[],[]
delta-media-group,http://deltagroup.com,[],['management'],"['ML', 'MLS']"
desktime,http://desktimeapp.com,['desk'],"['workspace', 'work']",[]
Dewolfe,http://dewolfe.io,[],[],"['decentralized', 'decentralized']"
Diffe.rent,http://diffe.rent/,[],['access'],['online']
Digitalkeys,http://digitalkeys.io/,[],[],['Digital']
Ding,http://dingproducts.com/,[],[],[]
dirtjockey,http://dirtjockey.com,[],['management'],[]
dolly,http://dolly.com,[],['work'],['vans']
Domuspect,http://domuspect.dk/,['lease'],[],[]
Dopi,http://dopi-eye.fr,"['Building', 'Build']",[],[]
Doxel,http://doxel.ai,[],"['risk', 'safety']","['application', 'AI', 'AI']"
Drawbridge Solutions,http://drawbridgesolution.com/,[],"['work', 'risk', 'management']","['Solutions', 'assessments', 'assessment']"
DriveIm,http://driveim.com/,[],[],[]
Dwellowner,http://dwellowner.com/,[],[],[]
E-Beton,http://e-beton.io,[],[],[]
E-Three,http://e3inc.us,[],['conservation'],[]
eBrokerHouse,http://ebrokerhouse.com/,['House'],[],['online']
Ecokit,http://ecokit.com.au,[],[],[]
Effig̩nie,http://eczo.bike,[],[],[]
Eddy Labs,http://eddy.io/,[],[],[]
Eden App,http://edenapp.com,[],[],[]
EigenCOMM,http://eigencomm.com/,[],[],"['Internet of Things', 'Internet']"
Eight,http://eightsleep.com/,[],[],"['insights', 'data']"
Ekotrope,http://ekotrope.com,['buildings'],[],[]
ElecTorq Technologies,http://electorq.com/,[],['shared'],[]
Electromotion,http://electromotionenergy.com,[],['electricity'],[]
Elysium,http://elysium.tech,[],[],['data']
E-Mist Innovations,http://emistinnovations.com,[],"['Innovation', 'Innovation']",[]
Emonitech,http://emonitech.com/,['buildings'],[],[]
EMPORIUM,http://emporium.vc,[],[],[]
Yunphant Blockchain,http://en.yunphant.com/about,[],"['Blockchain', 'Blockchain']",[]
endpoint,"http://endpointclosing.com,","['Building', 'Build']","['Escrow', 'Title', 'Title', 'Escrow']",[]
Energy Web Foundation,http://energyweb.org,['Energy'],[],[]
Engrain,http://engrain.com/,[],"['data visualization', 'mapping']","['visualization', 'data']"
Enigio,http://enigio.com,[],"['Blockchain', 'Blockchain']",['data']
ENKASA,"http://enkasahomes.com/,",[],[],[]
enosiX,http://enosix.com/,[],[],[]
Enterin,http://enterininc.com,[],[],[]
envysion,http://envysion.com,['Health'],"['Financial Services', 'M&A', 'M&A']",['Software']
EOT Protocol,http://eontoken.io/,[],[],[]
EON Protocol,http://eontoken.io/,[],"['Blockchain', 'Blockchain']",[]
Equipme,http://equipme.io,[],[],['reporting']
Equipment Share,http://equipmentshare.com,[],[],[]
Equityroots Inc,http://equityroots.com,[],['access'],[]
esplanade,http://esplanade.quebec,[],[],[]
Estateya,http://estateya.com/,[],[],[]
evercondo,http://evercondo.com,[],[],"['Internet', 'power']"
Evergreen Real Estate,http://evergreenrei.com,['Real Estate'],['management'],[]
Everledger,http://everledger.io,[],[],[]
evermind,http://evermind.us/,['Project'],['work'],['Digital']
eversight,http://eversightlabs.com,[],"['work', 'HR']","['power', 'data']"
evimio,http://evimio.com/,"['Home', 'Rental', 'Rent', 'Rental']",[],['Digital']
Evreka,http://evreka.co/,[],"['Waste', 'Waste']",['Solutions']
exaktime,http://exaktime.com,[],"['work', 'risk', 'environment', 'payroll']","['time tracking', 'data']"
Exprolink,http://exprolink.com/,[],['transport'],[]
eyeq,http://eyeqinsights.com/go,['visitor'],[],"['analytics.', 'insights', 'online', 'data']"
Ezoonet.com,http://ezoonet.com/,[],[],[]
f9analytics,http://f9analytics.com,['lease'],['Property'],"['Analytics', 'analytics.']"
facware,http://facsware.com,['Architecture'],"['work', 'management']","['Mobile', 'Database', 'Mobile', 'cloud-based', 'Systems', 'Automated', 'API']"
Factory,http://factory.co,[],"['work', 'meeting']",[]
FalconDHQ,http://falcondhq.uk/,[],[],[]
Famaex,http://famaex.com,[],[],[]
Fasmatech Science and Technology,http://fasmatech.com,[],['environment'],['application']
Fast Fox,http://fastfox.com/,[],[],['Internet']
FCQPlatform.com,http://fcqplatform.com,[],[],[]
Field Dailies,http://fielddailies.com,[],['management'],['reporting']
filament,http://filament.com,[],['work'],['Consulting']
Finally Light Bulbs,http://finallybulbs.com/,[],"['environment', 'environmental']","['lighting', 'lighting solutions', 'LED', 'online retail', 'online retailer', 'application', 'Light', 'online']"
Finch Living,http://finchliving.com,"['living', 'buildings']",['experiences'],[]
Fireflies.ai,http://fireflies.ai/,[],"['meeting', 'fire']","['AI-powered', 'power', 'AI', 'AI']"
Firepoint Solutions,http://firepoint.net,[],['fire'],['Solutions']
Firepoint Solutions,http://firepoint.net/,['Real Estate'],['fire'],['Solutions']
firstclose,http://firstclose.com,[],"['work', 'management']","['power', 'application', 'data']"
Five9,http://five9.com,[],"['work', 'management']","['cloud-based', 'application', 'reporting', 'VR']"
Fivewalls,http://fivewalls.com,[],[],[]
Flatchat,http://flatchat.com/,['Flat'],[],[]
FlexBright,http://flexbright.fi/,[],[],"['lighting', 'lighting solutions', 'LED', 'LED lighting']"
Flexcavo,http://flexcavo.de,[],[],[]
Flinkit,http://flinkit.de,['construction industry'],[],[]
Flipit,http://flipit.com/,[],['exclusive'],"['online retail', 'online retailer', 'online']"
